neuron,neuron_id,nickname,trust,milliampere,links_count,karma,first_link
bostrom1he6002lcfrf0yq9kp3lnrz0y7wumfr0q7y2ggs,43,tendermint,0.5893551624305956,13122,6,882301285,2021-11-22T15:09:47
bostrom1h3202mgfvn3wsc2qf4afkphymrl58xhkk6zwdq,44,dearnadia,0.596010646742637,2005,8,203896578100,2021-11-22T20:07:42
bostrom1h50x8jphk6q0ksc5djlfrd7sujs6jdcguclsea,45,earth,0.5962729427087069,40509,12,2756209610,2021-11-23T14:42:52
bostrom1p0r7uxstcw8ehrwuj4kn8qzzs0yypsjwxgd445,46,tetstnanme143,0.9246524307445656,145625,106,47419261151,2021-11-23T23:27:33
bostrom1yvlp9gzqaufwz02swp5wqsqhlmfcrcl8m22gzm,47,moondancer,0,324,2,96909436,2021-11-24T10:54:42
bostrom1htq7u8gy9muv4fk6st04524tdzy8rv04528gys,48,betelgeuse,0,28133,19,19771303017,2021-11-24T21:53:38
bostrom1p2da7jac0se3lwf4rf6uxf059ta4lk0xjnt3ks,49,gatesthree,0.7075272142049276,5466,14,4047826389,2021-11-25T09:48:29
bostrom13488q3gaddn24mpr7jmyav3yce2crduh5qsj38,50,yosemite,0.6730517855483144,42074,216,150474365477,2021-11-25T12:45:17
bostrom18d7jpa5q6we96gluuc767cacxzgq92xqwpae2n,51,zillinger,0.7650011194019227,13074,54,9785223140,2021-11-25T16:05:10
bostrom1a4krl6m7jg7ckczk94hh0wdlcezvpgwcwkrpcg,52,cyberpanda,0.7437194355799043,15080,17,2511549353,2021-11-26T02:03:33
bostrom1nfmvw8x37w00p3geuu8lrt3vt5kadxa5xd9us7,53,developer42,0.9780875225914285,4999461,27,1781830427565,2021-11-26T07:20:28
bostrom19wtkh935tx2ut2n4m6tjvkfvew4shaeezfl7em,54,elonamusk,0.9899820081519898,21091,1305,154141371215919,2021-11-27T14:11:11
bostrom13gdkmtt0pr3kjpczpmspkkryauyhxlxdrvmcxc,55,papamia,0.9993395134115594,33542,116,88029242996,2021-11-28T07:37:58
bostrom1mn8ev805fde2xswght0snwfayfj9tn54dt24zg,56,👤,0.8539347998935728,8687,4,338079557,2021-11-30T11:18:37
bostrom1zx70t5xqc8h4kmvrssdc2w82v9ksw0r82a99av,57,mendelandrei,0.5103559689162626,220914,71,24789372318,2021-11-30T20:51:35
bostrom16xvct04s93m8hrm2uz3cl60c4gjmt4ljcw84m5,58,lnxelnope,0,162724,5,5376922414,2021-11-30T23:57:55
bostrom1m4tqkvw22zgl4w9nyzfeyccnk696r6w7g3g7ue,59,atomic1,0,363790,233,387912044786,2021-12-01T02:07:15
bostrom1snfk76yqeg9gcsjnk6gxqzhf29xz7pzq6lvree,60,medusa,0.9183039425210149,16335,1,2216237164,2021-12-01T02:19:30
bostrom1ghfaapsausm6kn9ush6wa4ggw6thvjgwz203lz,61,cybit420,0,10944,67,26656967146,2021-12-01T02:42:51
bostrom1zy3nxgwtw9hr99tzfaxasgwklm9ev843fju9zl,62,amaradumi,0.7559727259519495,59836,51,214395797422,2021-12-01T05:55:53
bostrom12736ed7frh0uxwv2tm29qz8v30fe03kqasjz7d,63,kimnamhkorea,0,52139,7,20983044193,2021-12-01T08:12:24
bostrom1hruemq3recacnk4k2pfj6vpuqay4awektk9m5x,64,👤,0,21562,1,1190287904,2021-12-01T11:54:53
bostrom1ypsvuflcpdqr2msfqu3u77pqqspgl2htxfw250,65,moonmars,0,4029,3,108812904,2021-12-01T13:53:17
bostrom1xwazl8ftks4gn00y5x3c47auquc62ssuxcjfch,66,jabbey,0.8247128025565368,4892992,57,187257235795,2021-12-01T16:03:29
bostrom1nwkvkm2rwfm9wve2cl3h8gvs7cvcfhj2ss8hcf,67,👤,0,8412,9,16676324463,2021-12-01T17:58:35
bostrom18czrj52dvu6w5sap4kgznpvez69dk7rl89z0al,68,sf1234567,0,31086,2,11397488834,2021-12-01T22:48:15
bostrom1ng7nu0yqg4vl747khhez4j383d8e9ehhxxxvgl,69,cocokorea,0.036210115268173304,200812,2,6009994923,2021-12-02T00:40:24
bostrom1wf7sx6gwptrgex3jg2fpljzs298z4gxp3ex3y2,70,dannyworld,0,103882,8,3210106572,2021-12-02T05:28:41
bostrom1mk2yasfjljrvrxrjwj5823xh6lctkjc9g0ffdp,72,cosmosnews,0,10074,7,591777436,2021-12-02T15:11:55
bostrom10gkcwjuhlh3dn9uw52h2yvktgz6g3ngxxlws68,73,thecopt,0,89667,7,1889135337,2021-12-02T15:40:34
bostrom1fc3vuu5sajwfqwjtxcsqf6vft0963lhx3vyf6w,74,👤,0.25324055385393857,5635,4,454375589,2021-12-02T16:01:17
bostrom1dgjxwxtu4ztccvpke9v3xtqwjfxyuemydfcka5,75,sincitypsycho,0,59,11,847936120,2021-12-02T18:15:42
bostrom1r9mekllcz0fqdt0w2lstckw9exxtvzpq5mldaz,76,bullgoose,0,33234,2,2084995470,2021-12-02T19:19:31
bostrom1k3mx9jm3wlpckkwgm3jd2e6ng9p9926yh0fhvq,77,👤,0,14,1,214064,2021-12-02T19:37:00
bostrom1jpm5amugqhyrl5y036f3h8cev3vrldunkg7ad9,78,drbob22,0,2033,4,79314701,2021-12-02T20:21:43
bostrom1zp402njf3zyhjzesjmkmeryshrs7xn2rxlvgs9,79,cryptonio,0,56098,1,272727969,2021-12-02T20:53:42
bostrom16macu2qtc0jmqc7txvf0wkz84cycsx728ah0xc,80,dimakorzhovnik,0,15044501,6,69378771598,2021-12-02T23:17:23
bostrom1w4548vrnvc7t9j2ly55nvkjvhwqt9thnfcvuw6,81,skimanner,0.03606001639143059,445797,70,305041458977,2021-12-03T11:21:23
bostrom1wnpak7sfawsfv9c8vqe7naxfa4g99lv77d7c0z,82,citizencosmos,0.9889663951004156,238787810,403,94363497301117,2021-12-03T18:10:17
bostrom1xuwl7x8htyl26t7pe3l0x6auj3j9jwd2p9ewnz,83,astro-cat,0.43336562962507125,1611350,2314,18582734628513,2021-12-03T20:36:51
bostrom14cmqu4yvwg6phheusfd2gpggdx582203pvmtyw,84,artibar,0,16051,2,246060246,2021-12-03T21:21:28
bostrom14tk96pwx6lk25f740m4jzx85pkhfvldg42te4p,85,ddadmin2009,0.7619192766712821,2726,223,44954070905,2021-12-03T22:58:05
bostrom1xz2dkqrnrvq0ezc0vxtcvhwy39xr63vxzfedsr,86,👤,0,1000,4,30157873,2021-12-03T22:58:17
bostrom178n8r8wmkjy2e3ark3c2dhp4jma0r6zw6uzx9d,87,lordginge,0,4383,5,159933894,2021-12-03T23:47:24
bostrom179l49cwfczsy6g3puzw0wlcl7fksxwl0gxmh4z,88,moonboy,0,80171,2,1399300647,2021-12-04T13:17:39
bostrom1xxzc8awwllqq4waxtej8u8vlyr89lmuynt3xjr,89,tokyojoe,0.26221293307457216,577563,4,13131168381,2021-12-04T14:01:07
bostrom1zy8knphzhf9u8xeyjc6k3eps96q48hlmj03zsk,91,laurentiu,0.69072973192266,380287,69,1143876157274,2021-12-05T13:43:13
bostrom19uwgsmnnx2ku3xenfvkjwglzu0x4w9fpws7pzk,92,fruittim,0.9849133513494689,,236,0,2021-12-05T14:53:29
bostrom1zvgyalpnjs0838tzmnk4panj200yjy6ay8cadl,93,finduilas,0,3058,2,258337323,2021-12-05T15:42:02
bostrom13e6svcf0dy58ee6z7s8d5jjmt92jz67kqlzw0f,94,srisri2020,0,147676,76,166599133496,2021-12-05T17:23:38
bostrom15f6nvuqsun8ky9tz57dhphleta68hu3p8gn579,95,moonteahouse,0,8526,4,836584815,2021-12-05T19:06:51
bostrom1k6udtfc90k8h04aqdp2e69udd52z80lpyejqwn,96,👤,0,4013,2,181438603,2021-12-05T21:10:11
bostrom1gjvxngf5f8y399m03z0pcsj72u024vugmp7u02,97,wormbloat,0.9357817851647993,43012,67,214429218476,2021-12-06T00:23:21
bostrom1yvwjyl887wu9k34ggk6tjmw7sv42sx2zekc5dm,98,moooooon,0,18112,7,5349532708,2021-12-06T02:18:48
